Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
06/08/2022 08:11;MME;;303957 - CP5-BF;152;Security 1 (40e0d01078);? |  |
06/08/2022 08:10;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;152;Security 1 (40e0d01078);|  |
06/08/2022 08:08;MME;;303958 - CP1-BF;152;Security 1 (40e0d01078);? |  |
06/08/2022 08:08;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;152;Security 1 (40e0d01078);|  |
06/08/2022 08:06;MME;;303974 - CP2-BF;152;Security 1 (40e0d01078);? |  |
06/08/2022 08:06;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;152;Security 1 (40e0d01078);|  |
06/08/2022 08:06;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;152;Security 1 (40e0d01078);|  |
06/08/2022 08:05;START;;;152;Security 1 (40e0d01078);|  |
06/08/2022 08:00;MISSEDSCAN;Schedule: 13834226 - BF-6am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 06:16;FINISH;;;151;Security 1 (40e0d01078);|  |
06/08/2022 06:16;MME;;303958 - CP1-BF;151;Security 1 (40e0d01078);? |  |
06/08/2022 06:15;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:15;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:15;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:15;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:13;MME;;303957 - CP5-BF;151;Security 1 (40e0d01078);? |  |
06/08/2022 06:11;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:06;MME;;303974 - CP2-BF;151;Security 1 (40e0d01078);? |  |
06/08/2022 06:06;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:06;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;151;Security 1 (40e0d01078);|  |
06/08/2022 06:05;START;;;151;Security 1 (40e0d01078);|  |
06/08/2022 05:20;FINISH;;;150;Security 1 (40e0d01078);|  |
06/08/2022 05:20;MME;;304782 - CP8-GF;150;Security 1 (40e0d01078);? |  |
06/08/2022 05:19;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;150;Security 1 (40e0d01078);|  |
06/08/2022 05:17;MME;;304783 - CP2-GF;150;Security 1 (40e0d01078);? |  |
06/08/2022 05:17;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;150;Security 1 (40e0d01078);|  |
06/08/2022 05:17;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;150;Security 1 (40e0d01078);|  |
06/08/2022 05:16;START;;;150;Security 1 (40e0d01078);|  |
06/08/2022 05:00;MISSEDSCAN;Schedule: 13832767 - 2ND-3RD-4TH-4am Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
06/08/2022 05:00;MISSEDSCAN;Schedule: 13832767 - 2ND-3RD-4TH-4am Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
06/08/2022 04:29;FINISH;;;149;Security 1 (40e0d01078);|  |
06/08/2022 04:27;MME;;304785 - CP4-2F;149;Security 1 (40e0d01078);? |  |
